"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,739,918","100"
"2","www.google.com","12,129,914","100"
"3","apple.com","4,586,456","100"
"4","play.google.com","2,369,216","99"
"5","microsoft.com","4,419,955","99"
"6","docs.google.com","2,257,047","99"
"7","support.google.com","4,552,743","99"
"8","www.blogger.com","25,176,659","99"
"9","maps.google.com","4,458,749","98"
"10","wordpress.org","9,870,672","98"
"11","en.wikipedia.org","5,497,338","98"
"12","adobe.com","2,885,649","98"
"13","linkedin.com","8,820,783","98"
"14","plus.google.com","12,053,629","98"
"15","cloudflare.com","5,183,484","98"
"16","europa.eu","1,681,769","97"
"17","mozilla.org","1,948,573","97"
"18","sites.google.com","1,681,946","97"
"19","accounts.google.com","2,534,286","97"
"20","vimeo.com","3,146,759","97"
"21","googleusercontent.com","2,160,388","97"
"22","drive.google.com","1,775,714","97"
"23","youtu.be","3,935,205","97"
"24","amazon.com","4,022,823","96"
"25","vk.com","1,618,079","96"
"26","creativecommons.org","1,553,606","96"
"27","bbc.co.uk","1,429,503","96"
"28","bp.blogspot.com","15,932,425","96"
"29","istockphoto.com","3,084,300","96"
"30","facebook.com","45,600,934","96"
"31","medium.com","1,125,431","96"
"32","es.wikipedia.org","778,892","96"
"33","github.com","2,003,453","96"
"34","line.me","590,989","96"
"35","policies.google.com","1,077,596","95"
"36","dailymotion.com","1,073,780","95"
"37","gstatic.com","585,370","95"
"38","t.me","507,147","95"
"39","www.yahoo.com","916,718","95"
"40","globo.com","385,096","95"
"41","jimdofree.com","1,661,576","95"
"42","reuters.com","736,521","95"
"43","whatsapp.com","1,698,042","95"
"44","networkadvertising.org","705,453","95"
"45","ok.ru","332,197","95"
"46","aliexpress.com","445,374","95"
"47","photos.google.com","232,878","95"
"48","hugedomains.com","5,076,676","95"
"49","google.de","1,094,159","95"
"50","dropbox.com","939,991","95"
"51","paypal.com","905,342","95"
"52","slideshare.net","877,802","95"
"53","developers.google.com","899,910","95"
"54","who.int","2,282,967","95"
"55","mail.google.com","439,575","95"
"56","google.fr","383,867","95"
"57","uol.com.br","562,169","95"
"58","fr.wikipedia.org","538,507","95"
"59","w3.org","1,067,719","95"
"60","cnn.com","1,234,626","95"
"61","bbc.com","675,676","95"
"62","nih.gov","1,054,994","95"
"63","msn.com","995,219","95"
"64","pt.wikipedia.org","359,464","95"
"65","feedburner.com","1,753,949","95"
"66","nytimes.com","1,697,080","95"
